v_cc	v_be	v_ce	r_c	v_ce_mv	i_c
0	-2,089	0,000290	111,11	0,290	-0,000003
0	-1,068	0,000290	111,11	0,290	-0,000003
0	0,465	0,000290	111,11	0,290	-0,000003
0	0,484	0,000860	111,11	0,860	-0,000008
0	0,595	0,003420	111,11	3,420	-0,000031
0	0,633	0,003380	111,11	3,380	-0,000030
0	0,653	0,003610	111,11	3,610	-0,000032
0	0,677	0,004480	111,11	4,480	-0,000040
4,972	-2,017	4,497	111,11	0	0,004275
4,972	-1,070	4,941	111,11	0	0,000279
4,972	-0,006	4,933	111,11	0	0,000351
4,972	0,501	4,921	111,11	0	0,000459
4,972	0,697	3,816	111,11	0	0,010404
4,972	0,815	1,246	111,11	0	0,033534
4,972	0,829	0,689	111,11	0	0,038547
4,972	0,842	0,312	111,11	0	0,041940
10,160	-2,016	9,961	111,11	0	0,001791
10,160	-0,996	9,961	111,11	0	0,001791
10,160	0,008	9,973	111,11	0	0,001683
10,160	0,511	9,979	111,11	0	0,001629
10,160	0,670	8,812	111,11	0	0,012132
10,160	0,788	5,510	111,11	0	0,041850
10,160	0,843	3,159	111,11	0	0,063010
10,160	0,906	2,132	111,11	0	0,072253
